ano,mes,porto,graos,outras,sugar
2016,5,10399814,3057583,2625799,1800079
2016,6,9871092,2448682,2405106,2216208
2016,7,10191583,2216415,2583990,2132660
2016,8,10661361,2600427,2756019,2387897
2016,9,9906810,1917340,2681584,2136397
2016,10,9146081,1256628,2566643,2158020
2016,11,7850967,919390,2536475,1754290
2016,12,8464754,1249969,2765605,1392292
2017,1,7364639,1305167,2298649,931012
2017,2,9747014,3243316,2329687,1333104
2017,3,10865945,4191158,2694769,1068036
2017,4,10707190,3871825,2741290,1309568
2017,5,11437501,3568331,2664526,2241982
2017,6,11042436,3373641,2754097,1923231
2017,7,12057004,3543192,2770742,2304169
2017,8,12413288,4026434,2874265,2234427
2017,9,12297423,3433184,3120680,2400756
2017,10,11368335,2807839,3231754,2097330
2017,11,10903099,2605477,3134780,1883659
2017,12,9909911,2459342,3073986,998922
2018,1,9057591,2195144,2717529,943598
2018,2,9676287,3112299,2616312,1075567
2018,3,12283412,4835815,3206054,1113690
2018,4,11746845,4618170,2956340,839224
2018,5,11051675,3763588,2778564,1394893
2018,6,10851795,3300048,2655427,1537256
2018,7,11928341,3918131,2872880,1514478
2018,8,12484081,4228120,3275220,1368150
2018,9,11567446,3142381,3082942,1913386
2018,10,10319288,2451001,3146346,1363005
2018,11,11662740,3377087,3408979,1242555
2018,12,10863015,3170725,2810402,936784
2019,1,8982720,2471145,2249552,889629
2019,2,10069117,3749236,2365392,920730
2019,3,11384410,4534936,2576243,1059314
2019,4,10622637,3710096,2708188,877826
2019,5,10993750,3498891,2751386,1150923
2019,6,11576763,4071242,2722372,1302748
2019,7,12768827,5066923,2632302,1298517
2019,8,12087786,4456080,2715401,1276442
2019,9,11569514,3541674,2965395,1353095
2019,10,12789024,3886909,2900815,1682261
2019,11,11029042,3578242,2708562,1050817
2019,12,10211207,2490230,2808779,1205212
2020,1,8313550,1579477,2459253,961163
2020,2,10656081,3536302,2643528,989821
2020,3,12797058,5249263,2673604,1445705
2020,4,13489566,5776139,2485290,1079928
2020,5,13059577,4799587,2131101,2204208
2020,6,12364434,4632321,1964202,2010933
2020,7,13562666,4563110,2192471,2469043
2020,8,13733209,4625934,2199615,3012721
2020,9,12171502,3210614,2534500,2631737
2020,10,12479102,2544673,2751179,2854722
2020,11,12120254,2808786,2886051,2111388
2020,12,11863637,2525653,3113692,1840169
2021,1,9192360,1364379,2716969,1328114
2021,2,10927399,3116790,2813710,1267010
2021,3,15165869,6412723,3238260,1642608
2021,4,13759730,5890558,2807265,1245171
2021,5,14085520,5167068,3069090,2174474
2021,6,13266862,3984412,2938807,2189096
2021,7,12627546,3578197,2784855,1943303
2021,8,12065858,2793310,3007726,1967819
2021,9,11851872,2275677,2992448,2153720
2021,10,10727403,2062798,3109931,1602997
2021,11,11241892,2594769,2715943,1660905
2021,12,12122719,3383697,3321116,1133675
2022,1,10699935,2549621,2728167,885592
2022,2,12899826,4756344,2689218,1183738
2022,3,15158804,6329404,3136116,1257786
2022,4,13792995,5654237,2925221,826560
2022,5,14237454,5410965,2924837,1506721
2022,6,14144789,4949867,2813597,2026189
2022,7,14583718,4763298,2974180,2115232
2022,8,14626790,4122517,3188229,2455597
2022,9,13628567,3743920,3258989,2079487
2022,10,14435751,4185655,3198681,2249483
2022,11,12194409,3459541,2558110,2199680
2022,12,12096270,3843405,2552165,1554134
